vagrant@vagrant-ros:/workspace$ ros2 launch emotion_detection main.launch.py
[INFO] [launch]: All log files can be found below /home/vagrant/.ros/log/2023-05-19-03-53-11-841425-vagrant-ros-2527
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [face_detection-1]: process started with pid [2529]
[INFO] [emotion_detection-2]: process started with pid [2531]
[INFO] [action_client-3]: process started with pid [2533]
[face_detection-1] [INFO] [1684468409.986840222] [face_recognition]: Publishing video frame: 68
[face_detection-1] [INFO] [1684468410.182185869] [face_recognition]: Publishing video frame: 69
[face_detection-1] [INFO] [1684468410.312363475] [face_recognition]: Publishing video frame: 70
[face_detection-1] [INFO] [1684468410.438948948] [face_recognition]: Publishing video frame: 71
[face_detection-1] [INFO] [1684468410.594481098] [face_recognition]: Publishing video frame: 72
[face_detection-1] [INFO] [1684468410.795350537] [face_recognition]: Publishing video frame: 73
[face_detection-1] [INFO] [1684468411.116200384] [face_recognition]: Publishing video frame: 74
[face_detection-1] [INFO] [1684468411.231644014] [face_recognition]: Publishing video frame: 75
[face_detection-1] [INFO] [1684468411.371349288] [face_recognition]: Publishing video frame: 76
[face_detection-1] [INFO] [1684468411.479724144] [face_recognition]: Publishing video frame: 77
[face_detection-1] [INFO] [1684468411.659485573] [face_recognition]: Publishing video frame: 78
[face_detection-1] [INFO] [1684468411.834143592] [face_recognition]: Publishing video frame: 79
[face_detection-1] [INFO] [1684468411.971068382] [face_recognition]: Publishing video frame: 80
[face_detection-1] [INFO] [1684468412.127800960] [face_recognition]: Publishing video frame: 81
[face_detection-1] [INFO] [1684468412.319538841] [face_recognition]: Publishing video frame: 82
[face_detection-1] [INFO] [1684468412.512496753] [face_recognition]: Publishing video frame: 83
[face_detection-1] [INFO] [1684468412.656937679] [face_recognition]: Publishing video frame: 84
[face_detection-1] [INFO] [1684468412.832489528] [face_recognition]: Publishing video frame: 85
[face_detection-1] [INFO] [1684468412.982561088] [face_recognition]: Publishing video frame: 86
[face_detection-1] [INFO] [1684468413.105702326] [face_recognition]: Publishing video frame: 87
[face_detection-1] [INFO] [1684468413.270522885] [face_recognition]: Publishing video frame: 88
[face_detection-1] [INFO] [1684468413.418545959] [face_recognition]: Publishing video frame: 89
[face_detection-1] [INFO] [1684468413.525616641] [face_recognition]: Publishing video frame: 90
[face_detection-1] [INFO] [1684468413.662490089] [face_recognition]: Publishing video frame: 91
[face_detection-1] [INFO] [1684468413.795421225] [face_recognition]: Publishing video frame: 92
[face_detection-1] [INFO] [1684468413.944611406] [face_recognition]: Publishing video frame: 93
[face_detection-1] [INFO] [1684468414.083496028] [face_recognition]: Publishing video frame: 94
[face_detection-1] [INFO] [1684468414.267650917] [face_recognition]: Publishing video frame: 95
[face_detection-1] [INFO] [1684468414.402796903] [face_recognition]: Publishing video frame: 96
[face_detection-1] [INFO] [1684468414.575866917] [face_recognition]: Publishing video frame: 97
[face_detection-1] [INFO] [1684468414.731838098] [face_recognition]: Publishing video frame: 98
[face_detection-1] [INFO] [1684468414.929929902] [face_recognition]: Publishing video frame: 99
[face_detection-1] [INFO] [1684468415.087240405] [face_recognition]: Publishing video frame: 100
[face_detection-1] [INFO] [1684468415.260221756] [face_recognition]: Publishing video frame: 101
[face_detection-1] [INFO] [1684468415.431863571] [face_recognition]: Publishing video frame: 102
[face_detection-1] [INFO] [1684468415.583925066] [face_recognition]: Publishing video frame: 103
[face_detection-1] [INFO] [1684468415.693292973] [face_recognition]: Publishing video frame: 104
[face_detection-1] [INFO] [1684468415.851525591] [face_recognition]: Publishing video frame: 105
[face_detection-1] [INFO] [1684468415.965152734] [face_recognition]: Publishing video frame: 106
[face_detection-1] [INFO] [1684468416.081865640] [face_recognition]: Publishing video frame: 107
[face_detection-1] [INFO] [1684468416.232154785] [face_recognition]: Publishing video frame: 108
[face_detection-1] [INFO] [1684468416.380741917] [face_recognition]: Publishing video frame: 109
[face_detection-1] [INFO] [1684468416.525973152] [face_recognition]: Publishing video frame: 110
[face_detection-1] [INFO] [1684468416.665433610] [face_recognition]: Publishing video frame: 111
[face_detection-1] [INFO] [1684468416.800010359] [face_recognition]: Publishing video frame: 112
[face_detection-1] [INFO] [1684468416.926016948] [face_recognition]: Publishing video frame: 113
[face_detection-1] [INFO] [1684468417.059395760] [face_recognition]: Publishing video frame: 114
[face_detection-1] [INFO] [1684468417.234109188] [face_recognition]: Publishing video frame: 115
[face_detection-1] [INFO] [1684468417.390994186] [face_recognition]: Publishing video frame: 116
[face_detection-1] [INFO] [1684468417.541652727] [face_recognition]: Publishing video frame: 117
[face_detection-1] [INFO] [1684468417.703243866] [face_recognition]: Publishing video frame: 118
[face_detection-1] [INFO] [1684468417.842292389] [face_recognition]: Publishing video frame: 119
[face_detection-1] [INFO] [1684468417.977658433] [face_recognition]: Publishing video frame: 120
[emotion_detection-2] [INFO] [1684468418.106683865] [emotion_detection]: [*] Initializing emotion_detection node...
[face_detection-1] [INFO] [1684468418.109796189] [face_recognition]: Publishing video frame: 121
[face_detection-1] [INFO] [1684468418.345863606] [face_recognition]: Publishing video frame: 122
[face_detection-1] [INFO] [1684468418.453211876] [face_recognition]: Publishing video frame: 123
[face_detection-1] [INFO] [1684468418.582685052] [face_recognition]: Publishing video frame: 124
[face_detection-1] [INFO] [1684468418.715353577] [face_recognition]: Publishing video frame: 125
[face_detection-1] [INFO] [1684468418.871083697] [face_recognition]: Publishing video frame: 126
[face_detection-1] [INFO] [1684468419.023868003] [face_recognition]: Publishing video frame: 127
[face_detection-1] [INFO] [1684468419.197634511] [face_recognition]: Publishing video frame: 128
[face_detection-1] [INFO] [1684468419.336304041] [face_recognition]: Publishing video frame: 129
[face_detection-1] [INFO] [1684468419.505543080] [face_recognition]: Publishing video frame: 130
[face_detection-1] [INFO] [1684468419.669304595] [face_recognition]: Publishing video frame: 131
[face_detection-1] [INFO] [1684468419.866201763] [face_recognition]: Publishing video frame: 132
[face_detection-1] [INFO] [1684468420.009805123] [face_recognition]: Publishing video frame: 133
[face_detection-1] [INFO] [1684468420.151897794] [face_recognition]: Publishing video frame: 134
[face_detection-1] [INFO] [1684468420.371754754] [face_recognition]: Publishing video frame: 135
[face_detection-1] [INFO] [1684468420.522236680] [face_recognition]: Publishing video frame: 136
[face_detection-1] [INFO] [1684468420.669194138] [face_recognition]: Publishing video frame: 137
[face_detection-1] [INFO] [1684468420.835125398] [face_recognition]: Publishing video frame: 138
[face_detection-1] [INFO] [1684468420.964319651] [face_recognition]: Publishing video frame: 139
[face_detection-1] [INFO] [1684468421.089698830] [face_recognition]: Publishing video frame: 140
[face_detection-1] [INFO] [1684468421.417062013] [face_recognition]: Publishing video frame: 141
[emotion_detection-2] [INFO] [1684468421.564383157] [emotion_detection]: [*] Initializing emotion_detection node DONE!
[face_detection-1] [INFO] [1684468421.569163664] [face_recognition]: Publishing video frame: 142
[face_detection-1] [INFO] [1684468421.690637744] [face_recognition]: Publishing video frame: 143
[face_detection-1] [INFO] [1684468421.851370555] [face_recognition]: Publishing video frame: 144
[face_detection-1] [INFO] [1684468422.033528727] [face_recognition]: Publishing video frame: 145
[face_detection-1] [INFO] [1684468422.211240300] [face_recognition]: Publishing video frame: 146
[face_detection-1] [INFO] [1684468422.429764251] [face_recognition]: Publishing video frame: 147
[face_detection-1] [INFO] [1684468422.618613179] [face_recognition]: Publishing video frame: 148
[face_detection-1] [INFO] [1684468422.750736571] [face_recognition]: Publishing video frame: 149
[face_detection-1] [INFO] [1684468422.878072568] [face_recognition]: Publishing video frame: 150
[face_detection-1] [INFO] [1684468423.010845549] [face_recognition]: Publishing video frame: 151
[face_detection-1] [INFO] [1684468423.189170048] [face_recognition]: Publishing video frame: 152
[face_detection-1] [INFO] [1684468423.336725788] [face_recognition]: Publishing video frame: 153
[face_detection-1] [INFO] [1684468423.572440463] [face_recognition]: Publishing video frame: 154
[face_detection-1] [INFO] [1684468423.800261472] [face_recognition]: Publishing video frame: 155
[face_detection-1] [INFO] [1684468423.996874251] [face_recognition]: Publishing video frame: 156
[face_detection-1] [INFO] [1684468424.218179714] [face_recognition]: Publishing video frame: 157
[emotion_detection-2] [INFO] [1684468424.262857826] [emotion_detection]: predicted emotion: Angry
[action_client-3] [INFO] [1684468424.268781079] [action_client]: Emotion accepted -> proceeding...
[face_detection-1] [INFO] [1684468424.400786812] [face_recognition]: Publishing video frame: 158
[face_detection-1] [INFO] [1684468424.528200086] [face_recognition]: Publishing video frame: 159
[action_client-3] [INFO] [1684468424.554701003] [action_client]: Timer turned off
[action_client-3] [INFO] [1684468424.577044838] [action_client]: Goal accepted :)
[action_client-3] [INFO] [1684468426.576239496] [action_client]: Goal succeeded!
[action_client-3] [INFO] [1684468428.578441762] [action_client]: Resetting robot to original position
[action_client-3] [INFO] [1684468428.581735203] [action_client]: Goal accepted :)
[action_client-3] [INFO] [1684468430.584246942] [action_client]: Goal succeeded!
[action_client-3] [INFO] [1684468430.584951775] [action_client]: Resetting robot done!
[action_client-3] [INFO] [1684468430.588882857] [action_client]: Started emotion node!
[action_client-3] [INFO] [1684468430.802506415] [action_client]: Timer restarted!
[face_detection-1] [INFO] [1684468431.135247265] [face_recognition]: Publishing video frame: 160
[face_detection-1] [INFO] [1684468431.286754990] [face_recognition]: Publishing video frame: 161
[face_detection-1] [INFO] [1684468431.408259264] [face_recognition]: Publishing video frame: 162
[face_detection-1] [INFO] [1684468431.523534603] [face_recognition]: Publishing video frame: 163
[face_detection-1] [INFO] [1684468431.658117485] [face_recognition]: Publishing video frame: 164
[face_detection-1] [INFO] [1684468431.868427263] [face_recognition]: Publishing video frame: 165
[face_detection-1] [INFO] [1684468432.058231149] [face_recognition]: Publishing video frame: 166
[face_detection-1] [INFO] [1684468432.275879542] [face_recognition]: Publishing video frame: 167
[face_detection-1] [INFO] [1684468432.501082248] [face_recognition]: Publishing video frame: 168
[face_detection-1] [INFO] [1684468432.639995993] [face_recognition]: Publishing video frame: 169
[face_detection-1] [INFO] [1684468432.788468029] [face_recognition]: Publishing video frame: 170
[face_detection-1] [INFO] [1684468433.029947015] [face_recognition]: Publishing video frame: 171
[face_detection-1] [INFO] [1684468433.119100399] [face_recognition]: Publishing video frame: 172
[face_detection-1] [INFO] [1684468433.327472319] [face_recognition]: Publishing video frame: 173
[face_detection-1] [INFO] [1684468433.492031710] [face_recognition]: Publishing video frame: 174
[face_detection-1] [INFO] [1684468433.642344292] [face_recognition]: Publishing video frame: 175
[face_detection-1] [INFO] [1684468433.867022153] [face_recognition]: Publishing video frame: 176
[face_detection-1] [INFO] [1684468434.039598639] [face_recognition]: Publishing video frame: 177
[emotion_detection-2] [INFO] [1684468434.058780854] [emotion_detection]: predicted emotion: Neutral
[action_client-3] [INFO] [1684468434.078157437] [action_client]: Emotion denied -> exiting...
[emotion_detection-2] [INFO] [1684468434.100627651] [emotion_detection]: emotion declined!
[face_detection-1] [INFO] [1684468434.190204267] [face_recognition]: Publishing video frame: 178
[face_detection-1] [INFO] [1684468434.373045670] [face_recognition]: Publishing video frame: 179
[face_detection-1] [INFO] [1684468434.502938664] [face_recognition]: Publishing video frame: 180
[face_detection-1] [INFO] [1684468434.720902327] [face_recognition]: Publishing video frame: 181
[face_detection-1] [INFO] [1684468435.027781987] [face_recognition]: Publishing video frame: 182
[face_detection-1] [INFO] [1684468435.171781170] [face_recognition]: Publishing video frame: 183
[face_detection-1] [INFO] [1684468435.297174445] [face_recognition]: Publishing video frame: 184
[face_detection-1] [INFO] [1684468435.458016316] [face_recognition]: Publishing video frame: 185
[face_detection-1] [INFO] [1684468435.593139704] [face_recognition]: Publishing video frame: 186
[face_detection-1] [INFO] [1684468435.752424519] [face_recognition]: Publishing video frame: 187
[emotion_detection-2] [INFO] [1684468435.931239897] [emotion_detection]: predicted emotion: Neutral
[action_client-3] [INFO] [1684468435.934454418] [action_client]: Emotion denied -> exiting...
[face_detection-1] [INFO] [1684468435.941886013] [face_recognition]: Publishing video frame: 188
[emotion_detection-2] [INFO] [1684468435.964760670] [emotion_detection]: emotion declined!
[face_detection-1] [INFO] [1684468436.095298759] [face_recognition]: Publishing video frame: 189
[face_detection-1] [INFO] [1684468436.358001410] [face_recognition]: Publishing video frame: 190
[face_detection-1] [INFO] [1684468436.590387869] [face_recognition]: Publishing video frame: 191
[face_detection-1] [INFO] [1684468436.824605204] [face_recognition]: Publishing video frame: 192
[face_detection-1] [INFO] [1684468437.108035254] [face_recognition]: Publishing video frame: 193
